day,net_flows,lock_tx_number,unlock_tx_number
2024-01-26 00:00:00.000 UTC,4765.471838438276,4,0
2024-01-25 00:00:00.000 UTC,750.9391297231821,1,0
2024-01-24 00:00:00.000 UTC,208224.06394249687,4,1
2024-01-22 00:00:00.000 UTC,2479.70158037935,2,1
2024-01-21 00:00:00.000 UTC,3795.33911538377,3,0
2024-01-19 00:00:00.000 UTC,2636.421147394564,2,0
2024-01-18 00:00:00.000 UTC,-500,1,2
2024-01-17 00:00:00.000 UTC,2239.237014044473,1,0
2024-01-16 00:00:00.000 UTC,101.09105813000001,1,0
2024-01-12 00:00:00.000 UTC,-1180,0,1
2024-01-11 00:00:00.000 UTC,99999.99999999999,1,0
2024-01-08 00:00:00.000 UTC,806282.2646,1,0
2024-01-05 00:00:00.000 UTC,250090.55665916446,2,0
2024-01-03 00:00:00.000 UTC,512.5124653836684,1,0
2024-01-02 00:00:00.000 UTC,724.7438000000001,2,0
2024-01-01 00:00:00.000 UTC,101,1,0
2023-12-31 00:00:00.000 UTC,-2000,0,2
2023-12-26 00:00:00.000 UTC,167.1193486655449,1,0
2023-12-24 00:00:00.000 UTC,1443.7813052899999,1,0
2023-12-21 00:00:00.000 UTC,40444.69158238177,3,0
2023-12-15 00:00:00.000 UTC,409.73310061,1,0
2023-12-14 00:00:00.000 UTC,500,1,0
2023-12-11 00:00:00.000 UTC,207974.13928498205,1,0
2023-12-10 00:00:00.000 UTC,161.95589320129557,2,1
2023-12-09 00:00:00.000 UTC,957.8425350078523,1,1
2023-12-07 00:00:00.000 UTC,3000,1,1
2023-12-06 00:00:00.000 UTC,-354369.2159,0,1
2023-12-05 00:00:00.000 UTC,350369.2159,1,0
2023-12-04 00:00:00.000 UTC,-103231.5768,0,1
2023-11-27 00:00:00.000 UTC,83221.25740536998,1,1
2023-11-23 00:00:00.000 UTC,312.53208171,1,0
2023-11-22 00:00:00.000 UTC,-895.75758627,1,1
2023-11-20 00:00:00.000 UTC,-46000,0,2
2023-11-19 00:00:00.000 UTC,3640.1635574412294,4,1
2023-11-18 00:00:00.000 UTC,3178.7642360592645,3,0
2023-11-17 00:00:00.000 UTC,-51999.99999999999,0,3
2023-11-16 00:00:00.000 UTC,410757.11595122,2,0
2023-11-15 00:00:00.000 UTC,339.08547415,1,0
2023-11-14 00:00:00.000 UTC,-141315.37232961316,1,2
2023-11-13 00:00:00.000 UTC,-45899.509870254115,1,1
2023-11-12 00:00:00.000 UTC,-104200.57238511999,0,4
2023-11-10 00:00:00.000 UTC,656.61910013,1,0
2023-11-09 00:00:00.000 UTC,-99999.99999999999,0,1
2023-11-08 00:00:00.000 UTC,-66941,0,2
2023-11-04 00:00:00.000 UTC,-230.91548612300733,1,1
2023-11-03 00:00:00.000 UTC,14176.349540819629,1,2
